ClusterAlgorithm;DistanceFunction;Used Fields;Tfidf;StopWords;Lemmatized;Synonyms;GermaNetFunction;Word2VecAdd;Word2VecAverage;F1WeightedAvg;F1WeightedStd;CohesionAvg;CohesionStd;SeperationAvg;SeperationStd;SilhouetteAvg;SilhouetteStd;RuntimeAvg(ms)
Neural Gas;CosineDistance;7;true;true;true;true;false;false;false;0.19590000000000002;0.0;2.2821000000000002;0.0;2.4763;0.0;0.0873;0.0;116.32
ClusterART;Not needed;7;true;true;true;false;false;false;false;0.2383;0.0;2.6259;0.0;3.8165;0.0;0.1943;0.0;8585.37
Neural Gas;CosineDistance;7;true;true;true;true;false;false;true;0.1975;0.0;7.7883000000000004;0.0;9.2216;0.0;0.009300000000000001;0.0;29.17
ClusterART;Not needed;7;true;true;true;false;true;false;false;0.13520000000000001;0.0;68.86930000000001;0.0;37.573;0.0;0.0879;0.0;1710.25
Neural Gas;CosineDistance;7;true;true;true;true;false;true;false;0.1958;0.0;102.31410000000001;0.0;110.0473;0.0;-0.08020000000000001;0.0;97.4
ClusterART;Not needed;7;true;true;true;true;false;false;false;0.21980000000000002;0.0;2.5674;0.0;3.7245000000000004;0.0;0.19010000000000002;0.0;6986.48
Neural Gas;CosineDistance;7;true;true;true;true;true;false;false;0.2023;0.0;11.524700000000001;0.0;33.9147;0.0;0.0286;0.0;339.65
ClusterART;Not needed;7;true;true;true;true;true;false;false;0.11570000000000001;0.0;55.875600000000006;0.0;41.0524;0.0;0.012700000000000001;0.0;2186.99
Neural Gas;CosineDistance;7;true;true;true;true;true;false;true;0.21000000000000002;0.0;1.5707;0.0;5.996700000000001;0.0;-0.0068000000000000005;0.0;28.34
FuzzyCMeans2320;CosineDistance;7;true;true;true;false;false;false;false;0.3443;0.0268;2.3167;0.24130000000000001;2.5611;0.5958;0.0847;0.029;288.85
FuzzyCMeans2320;CosineDistance;7;true;true;true;false;false;false;true;0.3134;0.0268;7.285900000000001;0.7676000000000001;8.2997;1.1023;0.0151;0.0179;49.8
Neural Gas;CosineDistance;7;true;true;true;true;true;true;false;0.2134;0.0;5473.8266;0.0;57201.1794;0.0;-0.0125;0.0;102.97
FuzzyCMeans2320;CosineDistance;7;true;true;true;false;false;true;false;0.3205;0.0279;85.58630000000001;6.6039;97.0587;11.7063;-0.0502;0.027100000000000003;45.83
Neural Gas;EuclideanDistance;7;true;true;true;false;false;false;false;0.2053;0.0;2.0969;0.0;2.4449;0.0;0.1024;0.0;107.15
FuzzyCMeans2320;CosineDistance;7;true;true;true;false;true;false;false;0.2466;0.0258;33.9077;2.8623000000000003;66.6507;6.4015;-0.0857;0.045700000000000005;221.08
Neural Gas;EuclideanDistance;7;true;true;true;false;false;false;true;0.1456;0.0;7.5789;0.0;8.8368;0.0;-0.0098;0.0;25.72
FuzzyCMeans2320;CosineDistance;7;true;true;true;false;true;false;true;0.2272;0.0213;4.710100000000001;0.561;10.6464;1.4329;-0.2599;0.0565;25.11
Neural Gas;EuclideanDistance;7;true;true;true;false;false;true;false;0.17450000000000002;0.0;90.59920000000001;0.0;109.4034;0.0;0.0522;0.0;25.06
Neural Gas;EuclideanDistance;7;true;true;true;false;true;false;false;0.2087;0.0;9.187700000000001;0.0;15.4069;0.0;0.1116;0.0;248.42
FuzzyCMeans2320;CosineDistance;7;true;true;true;false;true;true;false;0.2272;0.0213;32975.252700000005;4678.731000000001;64624.3067;11239.7371;-0.3059;0.058800000000000005;23.4
Neural Gas;EuclideanDistance;7;true;true;true;false;true;false;true;0.24750000000000003;0.0;0.7008;0.0;1.5028000000000001;0.0;0.0893;0.0;26.14
FuzzyCMeans2320;CosineDistance;7;true;true;true;true;false;false;false;0.3417;0.0238;2.3236000000000003;0.2506;2.5220000000000002;0.561;0.0777;0.028;249.59
Neural Gas;EuclideanDistance;7;true;true;true;false;true;true;false;0.20020000000000002;0.0;3435.8311000000003;0.0;2219.4953;0.0;0.046700000000000005;0.0;23.91
FuzzyCMeans2320;CosineDistance;7;true;true;true;true;false;false;true;0.29550000000000004;0.0284;7.1155;0.7451;7.968500000000001;1.0632000000000001;0.0126;0.0205;48.36
FuzzyCMeans2320;CosineDistance;7;true;true;true;true;false;true;false;0.3002;0.0267;84.5789;6.131600000000001;93.78620000000001;8.829500000000001;-0.052000000000000005;0.0229;133.03
Neural Gas;EuclideanDistance;7;true;true;true;true;false;false;false;0.19110000000000002;0.0;2.3886000000000003;0.0;3.0105;0.0;0.1241;0.0;89.05
FuzzyCMeans2320;CosineDistance;7;true;true;true;true;true;false;false;0.2398;0.0218;27.8995;3.0222;62.8947;7.4252;-0.0509;0.0458;243.39
Neural Gas;EuclideanDistance;7;true;true;true;true;false;false;true;0.17170000000000002;0.0;8.956900000000001;0.0;10.783700000000001;0.0;0.0181;0.0;24.59
FuzzyCMeans2320;CosineDistance;7;true;true;true;true;true;false;true;0.2272;0.020200000000000003;3.8524000000000003;0.46830000000000005;10.1181;1.9015000000000002;-0.2114;0.0644;23.13
Neural Gas;EuclideanDistance;7;true;true;true;true;false;true;false;0.15960000000000002;0.0;83.6513;0.0;101.04400000000001;0.0;0.0342;0.0;32.43
Neural Gas;EuclideanDistance;7;true;true;true;true;true;false;false;0.2237;0.0;8.2202;0.0;9.9852;0.0;0.08410000000000001;0.0;272.0
FuzzyCMeans2320;CosineDistance;7;true;true;true;true;true;true;false;0.2272;0.020200000000000003;21389.3722;2729.5887000000002;52223.8125;13114.482100000001;-0.2836;0.058600000000000006;53.37
Neural Gas;EuclideanDistance;7;true;true;true;true;true;false;true;0.2414;0.0;0.7304;0.0;2.3165;0.0;0.2379;0.0;145.44
FuzzyCMeans2320;EuclideanDistance;7;true;true;true;false;false;false;false;0.2504;0.022600000000000002;1.1697;0.2615;0.5868;0.3114;0.0388;0.023200000000000002;376.68
FuzzyCMeans2320;EuclideanDistance;7;true;true;true;false;false;false;true;0.183;0.005;1.4771;0.2997;0.497;0.1874;0.0171;0.0161;143.82
Neural Gas;EuclideanDistance;7;true;true;true;true;true;true;false;0.23470000000000002;0.0;2765.4684;0.0;2694.387;0.0;0.1733;0.0;59.48
FuzzyCMeans2320;EuclideanDistance;7;true;true;true;false;false;true;false;0.1627;0.0;9.603900000000001;0.0;1.2875;0.0;-0.0016;0.0;341.9
FuzzyCMeans2320;EuclideanDistance;7;true;true;true;false;true;false;false;0.23340000000000002;0.0066;11.155000000000001;0.8632000000000001;21.2834;4.877400000000001;0.20500000000000002;0.038400000000000004;4905.43
FuzzyCMeans2320;EuclideanDistance;7;true;true;true;false;true;false;true;0.22130000000000002;0.0064;0.8184;0.0356;12.5515;0.9339000000000001;0.4692;0.046;469.1
FuzzyCMeans2320;EuclideanDistance;7;true;true;true;false;true;true;false;0.21400000000000002;0.0053;5044.6345;256.36400000000003;105626.5717;10301.1283;0.6561;0.047400000000000005;465.68
FuzzyCMeans2320;EuclideanDistance;7;true;true;true;true;false;false;false;0.2619;0.0176;1.415;0.20770000000000002;0.7629;0.2859;0.0392;0.022500000000000003;329.38
FuzzyCMeans2320;EuclideanDistance;7;true;true;true;true;false;false;true;0.18760000000000002;0.0094;1.1469;0.1875;0.41350000000000003;0.1315;0.0199;0.0198;137.21
FuzzyCMeans2320;EuclideanDistance;7;true;true;true;true;false;true;false;0.1686;0.0014;9.3137;8.0E-4;0.8054;0.35750000000000004;0.0045000000000000005;0.0098;558.19
FuzzyCMeans2320;EuclideanDistance;7;true;true;true;true;true;false;false;0.2447;0.0068000000000000005;10.198400000000001;0.86;23.3396;5.0356000000000005;0.1844;0.0357;4724.38
FuzzyCMeans2320;EuclideanDistance;7;true;true;true;true;true;false;true;0.22340000000000002;0.0086;0.9204;0.0636;13.471400000000001;1.4384000000000001;0.49810000000000004;0.0388;658.17
FuzzyCMeans2320;EuclideanDistance;7;true;true;true;true;true;true;false;0.2129;0.005200000000000001;2405.4147000000003;571.4687;107388.3064;14312.5432;0.6656000000000001;0.0587;829.81
KMeans2320;CosineDistance;7;true;true;true;false;false;false;false;0.2987;0.0315;3.1821;0.1184;4.2114;0.08270000000000001;0.1422;0.0218;171.05
KMeans2320;CosineDistance;7;true;true;true;false;false;false;true;0.3209;0.0351;7.543500000000001;0.6085;10.2591;1.4568;0.0374;0.030100000000000002;25.28
KMeans2320;CosineDistance;7;true;true;true;false;false;true;false;0.3165;0.034;87.7983;9.7941;141.7398;30.043300000000002;-0.0332;0.0346;27.85
KMeans2320;CosineDistance;7;true;true;true;false;true;false;false;0.2466;0.0258;33.9077;2.8623000000000003;66.6507;6.4015;-0.0857;0.045700000000000005;80.42
KMeans2320;CosineDistance;7;true;true;true;false;true;false;true;0.2272;0.0213;4.710100000000001;0.561;10.6464;1.4329;-0.2599;0.0565;7.85
KMeans2320;CosineDistance;7;true;true;true;false;true;true;false;0.2272;0.0213;32975.252700000005;4678.731000000001;64624.3067;11239.7371;-0.3059;0.058800000000000005;7.75
KMeans2320;CosineDistance;7;true;true;true;true;false;false;false;0.29650000000000004;0.031400000000000004;3.2523;0.1158;4.2208000000000006;0.0902;0.1263;0.0219;152.56
KMeans2320;CosineDistance;7;true;true;true;true;false;false;true;0.299;0.0332;7.3265;0.5833;9.9038;1.2071;0.0494;0.0346;26.61
KMeans2320;CosineDistance;7;true;true;true;true;false;true;false;0.29610000000000003;0.030000000000000002;87.67580000000001;8.4128;130.0703;26.226200000000002;-0.0334;0.037200000000000004;32.45
KMeans2320;CosineDistance;7;true;true;true;true;true;false;false;0.24000000000000002;0.0219;27.860400000000002;3.0561000000000003;62.900600000000004;7.4214;-0.0512;0.0459;82.39
KMeans2320;CosineDistance;7;true;true;true;true;true;false;true;0.22660000000000002;0.0201;3.8230000000000004;0.48040000000000005;10.1895;1.9355;-0.2064;0.06770000000000001;8.48
KMeans2320;CosineDistance;7;true;true;true;true;true;true;false;0.2272;0.020200000000000003;21389.3722;2729.5887000000002;52223.8125;13114.482100000001;-0.2836;0.058600000000000006;13.59
KMeans2320;EuclideanDistance;7;true;true;true;false;false;false;false;0.2836;0.0324;2.2156000000000002;0.2336;4.4387;0.2088;0.24550000000000002;0.0476;227.61
KMeans2320;EuclideanDistance;7;true;true;true;false;false;false;true;0.299;0.0245;7.030600000000001;0.5124000000000001;20.1401;1.1805;0.1341;0.034800000000000005;100.28
KMeans2320;EuclideanDistance;7;true;true;true;false;false;true;false;0.2404;0.0199;86.5162;5.8243;264.3671;23.4462;0.12300000000000001;0.028900000000000002;99.23
KMeans2320;EuclideanDistance;7;true;true;true;false;true;false;false;0.2275;0.0123;15.7864;0.8442000000000001;83.253;7.5541;0.41150000000000003;0.0388;495.46
KMeans2320;EuclideanDistance;7;true;true;true;false;true;false;true;0.2167;0.0117;0.8161;0.0658;12.283700000000001;1.6347;0.5685;0.0426;51.84
KMeans2320;EuclideanDistance;7;true;true;true;false;true;true;false;0.21610000000000001;0.010400000000000001;5265.4884;191.61260000000001;81526.534;12243.2019;0.6890000000000001;0.048;44.14
KMeans2320;EuclideanDistance;7;true;true;true;true;false;false;false;0.28450000000000003;0.0264;2.3000000000000003;0.2152;4.5128;0.2134;0.23970000000000002;0.042800000000000005;205.0
KMeans2320;EuclideanDistance;7;true;true;true;true;false;false;true;0.2586;0.025900000000000003;6.8085;0.547;19.571;1.157;0.15480000000000002;0.038700000000000005;96.23
KMeans2320;EuclideanDistance;7;true;true;true;true;false;true;false;0.22740000000000002;0.0189;86.62950000000001;6.2328;260.3021;18.7874;0.1342;0.0325;131.36
KMeans2320;EuclideanDistance;7;true;true;true;true;true;false;false;0.24400000000000002;0.0184;13.419400000000001;0.8281000000000001;74.0788;8.4795;0.4146;0.0426;372.78
KMeans2320;EuclideanDistance;7;true;true;true;true;true;false;true;0.2301;0.0074;0.9028;0.0636;12.0827;1.6429;0.5566;0.034800000000000005;91.95
KMeans2320;EuclideanDistance;7;true;true;true;true;true;true;false;0.22610000000000002;0.010700000000000001;4752.438700000001;654.2144000000001;66549.67;15052.0894;0.6103000000000001;0.062400000000000004;61.39
KMeans2320;WordEmbDistance;7;true;true;true;false;false;false;false;0.24650000000000002;0.0117;-1.0;0.0;-1.0;0.0;-1.0;0.0;168749.74
KMeans2320;WordEmbDistance;7;true;true;true;false;false;false;true;0.24650000000000002;0.0117;-1.0;0.0;-1.0;0.0;-1.0;0.0;170955.59
KMeans2320;WordEmbDistance;7;true;true;true;false;false;true;false;0.24650000000000002;0.0117;-1.0;0.0;-1.0;0.0;-1.0;0.0;169731.68
KMeans2320;WordEmbDistance;7;true;true;true;true;false;false;false;0.2303;0.011000000000000001;-1.0;0.0;-1.0;0.0;-1.0;0.0;126208.65
KMeans2320;WordEmbDistance;7;true;true;true;true;false;false;true;0.2303;0.011000000000000001;-1.0;0.0;-1.0;0.0;-1.0;0.0;125533.6
KMeans2320;WordEmbDistance;7;true;true;true;true;false;true;false;0.2303;0.011000000000000001;-1.0;0.0;-1.0;0.0;-1.0;0.0;201279.14
Neural Gas;CosineDistance;7;true;true;true;false;false;false;false;0.1577;0.0;2.0759000000000003;0.0;2.6303;0.0;0.10590000000000001;0.0;129.17
Neural Gas;CosineDistance;7;true;true;true;false;false;false;true;0.18050000000000002;0.0;7.979500000000001;0.0;8.1903;0.0;-0.010400000000000001;0.0;30.4
Neural Gas;CosineDistance;7;true;true;true;false;false;true;false;0.187;5.0E-4;89.9525;0.0497;92.6327;1.018;-0.0902;2.0E-4;29.14
Neural Gas;CosineDistance;7;true;true;true;false;true;false;false;0.22640000000000002;0.0;13.6681;0.0;31.1915;0.0;-0.0466;0.0;284.39
Neural Gas;CosineDistance;7;true;true;true;false;true;false;true;0.23140000000000002;0.0;1.9848000000000001;0.0;5.4378;0.0;-0.1537;0.0;29.96
Neural Gas;CosineDistance;7;true;true;true;false;true;true;false;0.23600000000000002;0.0;15787.2754;0.0;36992.9645;0.0;-0.1564;0.0;29.27

